ts;fixture;category;quantity;price
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 17;1;67,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 4;1;180,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 1;1;270,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 2;1;211,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 3;1;172,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 16;2;160,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 5;2;280,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 14;2;170,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 15;2;148,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 11;2;168,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 9;2;200,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 7;2;230,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 12;2;178,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 13;2;158,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 6;2;399,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 10;2;282,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 8;2;330,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 17;2;156,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 4;2;598,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 1;2;560,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 2;2;480,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 3;2;344,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 16;4;368,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 5;4;716,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 14;4;412,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 15;4;480,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 11;4;596,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 9;4;600,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 7;4;936,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 12;4;480,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 13;4;420,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 6;4;1 800,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 10;4;600,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 8;4;800,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 17;4;352,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 1;4;1 796,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 2;4;1 796,00 €
1692806160841,match-foot-masculin-paris-vs-nice-1;CATEGORIE 3;4;1 200,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 16;1;159,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 5;1;268,99 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 8;1;231,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 13;1;174,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 6;1;289,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 15;1;175,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 2;1;377,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 12;1;175,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 1;1;432,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 7;1;200,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 11;1;178,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 9;1;195,00 €
